filecode,inputLine,SecType,Symbol,Underlying,Expiry,Strike,O_Type,Trade_Time,TotalQ,Lot_Time,Exchange,Q,Price,Proceeds,CommTax,Basis,Realized_PL,Multi,Codes,1675,Account
09S,76,O,BA 18FEB12 75.0 P,BA,2012-02-18,75,P,2012-01-24 11:27:47,8,,PSE,1,1.97,-197,-1.17,198.17,0,100,P;O,O,IB9048
09S,77,O,BA 18FEB12 75.0 C,BA,2012-02-18,75,C,2012-01-24 11:27:52,8,,PSE,1,2.02,-202,-1.17,203.17,0,100,P;O,O,IB9048
09S,78,O,BA 18FEB12 75.0 P,BA,2012-02-18,75,P,2012-01-24 11:27:52,8,,PSE,1,1.98,-198,-1.17,199.17,0,100,P;O,O,IB9048
09S,79,O,BA 18FEB12 75.0 C,BA,2012-02-18,75,C,2012-01-24 11:27:53,8,,PSE,1,2.02,-202,-1.17,203.17,0,100,P;O,O,IB9048
09S,80,O,BA 18FEB12 75.0 P,BA,2012-02-18,75,P,2012-01-24 11:27:53,8,,PSE,1,1.98,-198,-1.17,199.17,0,100,P;O,O,IB9048
09S,81,O,BA 18FEB12 75.0 C,BA,2012-02-18,75,C,2012-01-24 11:29:31,8,,PSE,1,1.99,-199,-0.47,199.47,0,100,P;O,O,IB9048
09S,82,O,BA 18FEB12 75.0 P,BA,2012-02-18,75,P,2012-01-24 11:29:31,8,,PSE,1,2.01,-201,-0.47,201.47,0,100,P;O,O,IB9048
09S,83,S,BVSN,BVSN,,,,2012-01-24 13:11:35,-267,,ISLAND,-125,42.6,5325,-0.55,-1620.21,3704.23,1,P;ML;C,CS,IB9048
09S,84,S,BVSN,BVSN,,,,2012-01-24 13:11:35,-267,2011-04-26 13:37:34,ISLAND,82,12.961703,1635.393258,-0.168913858,1062.86,2429.98,1,P;ML;C;ST,C,IB9048
09S,85,S,BVSN,BVSN,,,,2012-01-24 13:11:35,-267,2011-04-26 13:37:34,ISLAND,43,12.961703,263.3779405,-0.027203355,557.35,1274.26,1,P;ML;C;ST;ST,C,IB9048
09S,86,S,BVSN,BVSN,,,,2012-01-24 13:11:36,-267,,ISLAND,-142,42.6,6049.2,-0.07,-1819.59,4229.54,1,P;ML;C,CS,IB9048
09S,87,S,BVSN,BVSN,,,,2012-01-24 13:11:36,-267,2011-04-26 13:37:34,ISLAND,79,12.961703,1789.838202,-0.02071161,1023.97,2341.39,1,P;ML;C;ST,C,IB9048
09S,88,S,BVSN,BVSN,,,,2012-01-24 13:11:36,-267,2011-04-21 15:18:22,ISLAND,63,12.628896,422.3213736,-0.004887009,795.62,1888.15,1,P;ML;C;ST;ST,C,IB9048
09S,89,S,BVSN,BVSN,,,,2012-01-24 13:15:52,-100,,ISLAND,-50,43.3,2165,-0.64,-631.44,1532.91,1,P;ML;C,CS,IB9048
09S,90,S,BVSN,BVSN,,,,2012-01-24 13:15:52,-100,2011-04-21 15:18:22,ISLAND,50,12.628896,1082.5,-0.32,631.44,1532.91,1,P;ML;C;ST,C,IB9048
09S,91,S,BVSN,BVSN,,,,2012-01-24 13:15:52,-100,,ISLAND,-50,43.3,2165,0.06,-631.36,1533.7,1,P;ML;C,CS,IB9048
09S,92,S,BVSN,BVSN,,,,2012-01-24 13:15:52,-100,2011-04-21 15:18:22,ISLAND,10,12.628896,216.5,0.006,126.29,306.72,1,P;ML;C;ST,C,IB9048
09S,93,S,BVSN,BVSN,,,,2012-01-24 13:15:52,-100,2011-04-21 15:18:22,ISLAND,40,12.626703,86.6,0.0024,505.07,1226.98,1,P;ML;C;ST;ST,C,IB9048
09S,94,S,BVSN,BVSN,,,,2012-01-24 13:16:50,-200,,ISLAND,-200,43.49,8698,-0.47,-2524.29,6173.25,1,ML;C,CS,IB9048
09S,95,S,BVSN,BVSN,,,,2012-01-24 13:16:50,-200,2011-04-21 15:18:22,ISLAND,60,12.626703,2609.4,-0.141,757.6,1851.66,1,ML;C;ST,C,IB9048
09S,96,S,BVSN,BVSN,,,,2012-01-24 13:16:50,-200,2011-04-21 15:18:22,ISLAND,100,12.625232,1304.7,-0.0705,1262.52,3086.24,1,ML;C;ST;ST,C,IB9048
09S,97,S,BVSN,BVSN,,,,2012-01-24 13:16:50,-200,2011-04-21 15:40:07,ISLAND,1,12.621703,6.5235,-0.0003525,12.62,30.87,1,ML;C;ST;ST;ST,C,IB9048
09S,98,S,BVSN,BVSN,,,,2012-01-24 13:16:50,-200,2011-04-21 15:18:22,ISLAND,4,12.606703,0.13047,-0.00000705,50.43,123.52,1,ML;C;ST;ST;ST;ST,C,IB9048
09S,99,S,BVSN,BVSN,,,,2012-01-24 13:16:50,-200,2011-04-21 15:18:22,ISLAND,35,12.6032,0.02283225,-1.23375E-06,441.11,1080.96,1,ML;C;ST;ST;ST;ST;ST,C,IB9048
09S,100,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 15:03:55,-7,,PHLX,-1,1.32,132,-1.03,-131.02,-0.05,100,P;ML;C,CS,IB9048
09S,101,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 15:03:55,-7,2012-01-24 10:53:24,PHLX,1,1.310245,18.85714286,-0.147142857,131.02,-0.05,100,P;ML;C;ST,C,IB9048
09S,102,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 15:03:55,-7,,ISE,-1,1.33,133,-0.43,-130.72,1.85,100,P;ML;C,CS,IB9048
09S,103,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 15:03:55,-7,2012-01-24 10:53:25,ISE,1,1.307245,19,-0.061428571,130.72,1.85,100,P;ML;C;ST,C,IB9048
09S,104,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 15:03:55,-7,,CBOE2,-4,1.32,528,-1.43,-522.9,3.67,100,P;ML;C,CS,IB9048
09S,105,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 15:03:55,-7,2012-01-24 10:53:25,CBOE2,4,1.307245,301.7142857,-0.817142857,522.9,3.67,100,P;ML;C;ST,C,IB9048
09S,106,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 15:03:55,-7,,CBOE,-1,1.33,133,-0.73,-130.42,1.85,100,P;ML;C,CS,IB9048
